Parent Title 2017,Hierarchy Level 2017,Total Children 2017,Parent Title 2018,Hierarchy Level 2018,Total Children 2018,Semantic Matches,Semantic Similarity Avg,Levenshtein_Matches,Levenshtein Distance Avg,Jaccard_Matches,Jaccard Similarity Avg,Matching Children,Matching Children Same Level
Trust income deductions and credits at tributable to grantors and others as substan,6.Section,0,Trust income deductions and credits at tributable to grantors and others as substan,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Failure to disclose that contributions are nondeductible,6.Section,0,Failure to disclose that contributions are nondeductible,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Failure by taxexempt organization to dis close that certain information or service,6.Section,0,Failure by taxexempt organization to dis,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Failure to disclose treatybased return po sitions,6.Section,0,Failure to disclose treatybased return po sitions,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Disclosure or use of information by pre parers of returns,6.Section,0,Disclosure or use of information by pre parers of returns,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Failure to meet disclosure requirements applicable to quid pro quo contributions,6.Section,0,Failure to meet disclosure requirements applicable to quid pro quo contributions,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Dyed fuel sold for use or used in taxable use etc,6.Section,0,Dyed fuel sold for use or used in taxable use etc,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
A Tampering with or failing to maintain security requirements for mechanical dye in,6.Section,0,A Tampering with or failing to maintain security requirements for mechanical dye in,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title III,6.Section,0,Repealed Pub L title III,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Refusal of entry,6.Section,0,Refusal of entry,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Failure to display tax registration on ves sels,6.Section,0,Failure to display tax registration on ves sels,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Failure to register or reregister,6.Section,0,Failure to register or reregister,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Definitions and rules,6.Section,0,Definitions and rules,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Fraudulent acknowledgments with re spect to donations of motor vehicles boats,6.Section,0,Fraudulent acknowledgments with re spect to donations of motor vehicles boats,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
A Penalty with respect to certain adulter ated fuels,6.Section,0,A Penalty with respect to certain adulter ated fuels,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
B Fraudulent identification of exempt use property,6.Section,0,B Fraudulent identification of exempt use property,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Failure to file correct information returns,6.Section,0,Failure to file correct information returns,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Failure to furnish correct payee state ments,6.Section,0,Failure to furnish correct payee state ments,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Failure to comply with other information reporting requirements,6.Section,0,Failure to comply with other information reporting requirements,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Waiver definitions and special rules,6.Section,0,Waiver definitions and special rules,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Failure to report information under sec tion,6.Section,0,Failure to report information under sec tion,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Reversionary interests,6.Section,0,Reversionary interests,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Power to control beneficial enjoyment,6.Section,0,Power to control beneficial enjoyment,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Administrative powers The grantor shall be treated as the owner of,6.Section,0,Administrative powers The grantor sh all be trea ted a s th e owner of,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Procedural requirements,6.Section,0,Procedural requirements,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Power to revoke,6.Section,0,Power to revoke,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Income for benefit of grantor,6.Section,0,Income for benefit of grantor,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Person other than grantor treated as sub stantial owner,6.Section,0,Person other than grantor treated as sub stantial owner,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Foreign trusts having one or more United States beneficiaries,6.Section,0,Foreign trusts having one or more United States beneficiaries,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Overall limitation on itemized deductions,6.Section,0,Overall limitation on itemized deductions,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Authority for establishment alteration and distribution,6.Section,0,Authority for establishment alteration and distribution,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Supply and distribution The Secretary shall furnish without prepay,6.Section,0,Supply and distribution The Secre tary sh all fu rnish w ithout pre payment,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Accounting and safeguarding,6.Section,0,Accounting and safeguarding,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Attachment and cancellation Except as otherwise expressly provided in this,6.Section,0,Attachment and cancellation Except a s otherwise e xpres sly pro vided i n this,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Redemption of stamps,6.Section,0,Redemption of stamps,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Occupational tax stamps Every person engaged in any business avoca,6.Section,0,Occupational tax stamps Every p erson engaged i n any bu siness avoca,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Stamping marking and branding seized goods,6.Section,0,Stamping marking and branding seized goods,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Special provisions relating to stamps For special provisions on stamps relating to,6.Section,0,Special provisions relating to stamps For special provisions on stamps relating to,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Limitation on charitable deduction,6.Section,0,Limitation on charitable deduction,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Use of trust as an exchange fund,6.Section,0,Use of trust as an exchange fund,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Recognition of gain on certain transfers to certain foreign trusts and estates,6.Section,0,Recognition of gain on certain transfers to,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Treatment of funeral trusts,6.Section,0,Treatment of funeral trusts,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Termination assessments of income tax,6.Section,0,Termination assessments of income tax,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Termination assessments in case of fla grant political expenditures of,6.Section,0,Termination assessments in case of fla grant political expenditures of,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Jeopardy assessments of income estate gift and certain excise taxes,6.Section,0,Jeopardy assessments of income estate gift and certain excise taxes,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Jeopardy assessment of taxes other than income estate gift and certain excise taxes,6.Section,0,Jeopardy assessment of taxes other than income estate gift and certain excise taxes,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Stay of collection of jeopardy assessments,6.Section,0,Stay of collection of jeopardy assessments,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Termination of extended period for pay ment in case of carryback,6.Section,0,Termination of extended period for pay ment in case of carryback,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Presumptions where owner of large amount of cash is not identified,6.Section,0,Presumptions where owner of large amount of cash is not identified,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Claims for income estate gift and certain excise taxes in receivership proceedings etc,6.Section,0,Claims for income estate gift and certain excise taxes in receivership proceedings etc,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Suspension of period on assessment If the regulations issued pursuant to,6.Section,0,Suspension of period on assessment If the reg ulations is sued pu rsuant to sec tion,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Unpaid claims,6.Section,0,Unpaid claims,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Transferred assets,6.Section,0,Transferred assets,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Provisions of special application to trans ferees,6.Section,0,Provisions of special application to trans ferees,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Notice of fiduciary relationship,6.Section,0,Notice of fiduciary relationship,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Prohibition of injunctions For prohibition of suits to restrain enforcement of,6.Section,0,Prohibition of injunctions For prohibition of suits to restrain enforcement,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Discharge of executor from personal li ability for decedents income and gift taxes,6.Section,0,Discharge of executor from personal li ability for decedent s income and gift taxes,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Recipients of income in respect of dece dents,6.Section,0,Recipients of income in respect of dece dents,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Income taxes of members of Armed Forces astronauts and victims of certain terrorist,6.Section,0,Income taxes of members of Armed F orces astronauts and victims of certain terrorist,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Collection of foreign items,6.Section,0,Collection of foreign items,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Partners not partnership subject to tax A partnership as such shall not be subject to,6.Section,0,Partners not partnership subject to tax A p artnership as su ch sh all n ot be su bject to,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Registrationpersons paying a special tax,6.Section,0,Registrationpersons paying a special tax,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Cross references For provisions relating to registration in con,6.Section,0,Cross references F or provisions relating to registration in con,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Income and credits of partner,6.Section,0,Income and credits of partner,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Partnership computations,6.Section,0,Partnership computations,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Partners distributive share,6.Section,0,Partner s distributive share,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Determination of basis of partners interest,6.Section,0,Determination of basis of partner s interest,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Taxable years of partner and partnership,6.Section,0,Taxable years of partner and partnership,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Transactions between partner and partner ship,6.Section,0,Transactions between partner and partner ship,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Continuation of partnership,6.Section,0,Continuation of partnership,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Treatment of organization and syndication fees,6.Section,0,Treatment of organization and syndication fees,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Form of bonds Whenever pursuant to the provisions of this,6.Section,0,Form of bonds Whenever pu rsuant to th e pro visions of this,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Single bond in lieu of multiple bonds In any case in which two or more bonds are re,6.Section,0,Single bond in lieu of multiple bonds In any ca se in which tw o or more bo nds are re,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Cross referencesOther provisions for bonds,6.Section,0,Cross referencesOther provisions for bonds,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Closing agreements,6.Section,0,Closing agreements,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Compromises,6.Section,0,Compromises,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Appeals dispute resolution procedures,6.Section,0,Appeals dispute resolution procedures,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Cross references For criminal penalties for concealment of prop,6.Section,0,Cross references For criminal penalties for concealment of prop,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Annuities certain proceeds of endowment,6.Section,0,Annuities certain proceeds of endowment and life insurance contracts,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Attempt to evade or defeat tax Any person who willfully attempts in any,6.Section,0,Attempt to evade or defeat tax Any p erson who willfu lly a ttempts in any m an,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Willful failure to collect or pay over tax Any person required under this title to collect,6.Section,0,Willful failure to collect or pay over tax Any p erson req uired u nder this ti tle to co llect,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Willful failure to file return supply infor mation or pay tax,6.Section,0,Willful failure to file return supply infor mation or pay tax,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Fraudulent statement or failure to make statement to employees,6.Section,0,Fraudulent statement or failure to make statement to employees,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Fraudulent withholding exemption certifi cate or failure to supply information,6.Section,0,Fraudulent withholding exemption certif icate or failure to supply information,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Fraud and false statements Any person who,6.Section,0,Fraud and false statements Any p erson who,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Fraudulent returns statements or other documents,6.Section,0,Fraudulent returns statements or other documents,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Offenses relating to stamps Any person who,6.Section,0,Offenses relating to stamps Any p erson who,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Unauthorized use or sale of stamps Any person who buys sells offers for sale,6.Section,0,Unauthorized use or sale of stamps Any p erson who buys sells offers for sale uses,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Nonrecognition of gain or loss on contribu tion,6.Section,0,Nonrecognition of gain or loss on contribu tion,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Failure to obey summons Any person who being duly summoned to ap,6.Section,0,Failure to obey summons Any p erson who being duly su mmoned to a ppear,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
False statements to purchasers or lessees relating to tax,6.Section,0,False statements to purchasers or lessees relating to tax,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Attempts to interfere with administration of internal revenue laws,6.Section,0,Attempts to interfere with administration of internal revenue laws,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Unauthorized disclosure of information,6.Section,0,Unauthorized disclosure of information,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
A Unauthorized inspection of returns or return information,6.Section,0,A Unauthorized inspection of returns or return information,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Offenses by officers and employees of the United States,6.Section,0,Offenses by officers and employees of the United States,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Offenses with respect to collected taxes,6.Section,0,Offenses with respect to collected taxes,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Disclosure or use of information by pre parers of returns,6.Section,0,Disclosure or use of information by pre parers of returns,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Prohibition on executive branch influence over taxpayer audits and other investiga,6.Section,0,Prohibition on executive branch influence over taxpayer audits and other investiga,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Basis of contributing partners interest The basis of an interest in a partnership ac,6.Section,0,Basis of contributing partner s interest The ba sis o f an interest i n a p artnership ac,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Basis of property contributed to partner ship,6.Section,0,Basis of property contributed to partner ship,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Failure to obtain license for collection of foreign items,6.Section,0,Failure to obtain license for collection of foreign items,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Failure to register or reregister under false representations of reg,6.Section,0,Failure to register or reregister under sec tion false representations of registra,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title XIX,6.Section,0,Repealed Pub L title XIX,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title XIX,6.Section,0,Repealed Pub L title XIX,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title XIX,6.Section,0,Repealed Pub L title XIX,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L b Oct,6.Section,0,Repealed Pub L b Oct,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title XIX,6.Section,0,Repealed Pub L title XIX,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Character of gain or loss on contributed unrealized receivables inventory items and,6.Section,0,Character of gain or loss on contributed unrealized receivables inventory items and,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title XI,6.Section,0,Repealed Pub L title XI,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title I,6.Section,0,Repealed Pub L title I,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Representation that retailers excise tax is excluded from price of article,6.Section,0,Representation that retailers excise tax is excluded from price of article,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Violation of occupational tax laws relat ing to wageringfailure to pay special tax,6.Section,0,Violation of occupational tax laws relat ing to wageringfailure to pay special tax,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title XIX,6.Section,0,Repealed Pub L title XIX,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title XIX,6.Section,0,Repealed Pub L title XIX,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title XIX,6.Section,0,Repealed Pub L title XIX,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L b Oct,6.Section,0,Repealed Pub L b Oct,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title XIX,6.Section,0,Repealed Pub L title XIX,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Possession with intent to sell in fraud of law or to evade tax,6.Section,0,Possession with intent to sell in fraud of law or to evade tax,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Failure to produce records Whoever fails to comply with any duty im,6.Section,0,Failure to produce records Whoever fails to co mply w ith a ny d uty im posed,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Insurance policies Any person who fails to comply with the re,6.Section,0,Insurance policies Any p erson w ho fails to co mply w ith th e re,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Penalties for offenses relating to stamps,6.Section,0,Penalties for offenses relating to stamps Any p erson who with resp ect to a ny t ax payable,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Penalties for offenses relating to special,6.Section,0,Penalties for offenses relating to special taxes,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title XIX,6.Section,0,Repealed Pub L title XIX,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Penalty for offenses relating to certain airline tickets and advertising,6.Section,0,Penalty for offenses relating to certain airline tickets and advertising,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Services of child,6.Section,0,Services of child,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Property subject to tax,6.Section,0,Property subject to tax,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Property used in violation of internal rev enue laws,6.Section,0,Property used in violation of internal rev enue laws,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Other property subject to forfeiture There may be seized and forfeited to the,6.Section,0,Other property subject to forfeiture There m ay be se ized a nd forfeited to th e United,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Extent of recognition of gain or loss on dis tribution,6.Section,0,Extent of recognition of gain or loss on dis tribution,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Basis of distributed property other than money,6.Section,0,Basis of distributed property other than money,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Authority to seize property subject to for feiture,6.Section,0,Authority to seize property subject to for feiture,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Delivery of seized personal property to United States marshal,6.Section,0,Delivery of seized personal property to United States marshal,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Judicial action to enforce forfeiture,6.Section,0,Judicial action to enforce forfeiture,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Special disposition of perishable goods When any property which is seized under the,6.Section,0,Special disposition of perishable goods When any pro perty w hich is se ized u nder th e,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Personal property valued at or less,6.Section,0,Personal property valued at or less,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Customs laws applicable The provisions of law applicable to the remis,6.Section,0,Customs laws applicable The pro visions of law a pplicable to th e re mis,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Cross references For the issuance of certificates of probable,6.Section,0,Cross references F or the issuance of certificates of probable,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Basis of distributee partners interest In the case of a distribution by a partnership,6.Section,0,Basis of distributee partner s interest In th e ca se o f a distr ibution by a p artnership to,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Adjustment to basis of undistributed nership property where election,6.Section,0,Adjustment to basis of undistributed nership property where election,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Penalty for sales to evade tax,6.Section,0,Penalty for sales to evade tax,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Penalty for refusal to permit entry or ex amination,6.Section,0,Penalty for refusal to permit entry or ex amination,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Definition of term person The term person as used in this in,6.Section,0,Definition of term person The te rm p erson as used i n this c hapter in,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Extended application of penalties relating to officers of the Treasury Department,6.Section,0,Extended application of penalties relating to officers of the Treasury Department,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Revocation or denial of passport in case of certain tax delinquencies,6.Section,0,Revocation or denial of passport in case of certain tax delinquencies,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Character of gain or loss on disposition of distributed property,6.Section,0,Character of gain or loss on disposition of distributed property,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Payments to a retiring partner or a de ceased partners successor in interest,6.Section,0,Payments to a retiring partner or a de ceased partner s successor in interest,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Recognition of precontribution gain in case of certain distributions to contributing,6.Section,0,Recognition of precontribution gain in case of certain distributions to contributing,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Prizes and awards,6.Section,0,Prizes and awards,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Authorization No civil action for the collection or recovery,6.Section,0,Authorization No civil action for th e co llection or reco very o f,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Jurisdiction of district courts,6.Section,0,Jurisdiction of district courts,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Action to enforce lien or to subject prop erty to payment of tax,6.Section,0,Action to enforce lien or to subject prop,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Authority to bring civil action for estate taxes,6.Section,0,Authority to bring civil action for estate taxes,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Action for recovery of erroneous refunds,6.Section,0,Action for recovery of erroneous refunds,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Disposition of judgments and moneys re covered,6.Section,0,Disposition of judgments and moneys re covered,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Action to enjoin tax return preparers,6.Section,0,Action to enjoin tax return preparers,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Action to enjoin flagrant political expend itures of c organizations,6.Section,0,Action to enjoin flagrant political expend itures of c organizations,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Recognition and character of gain or loss on sale or exchange,6.Section,0,Recognition and character of gain or loss on sale or exchange,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Cross references For provisions for collecting taxes in general,6.Section,0,Cross references F or provisions for collecting taxes in general,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Basis of transferee partners interest The basis of an interest in a partnership ac,6.Section,0,Basis of transferee partner s interest The ba sis o f an interest i n a p artnership ac,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Prohibition of suits to restrain assessment or collection,6.Section,0,Prohibition of suits to restrain assessment or collection,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Civil actions for refund,6.Section,0,Civil actions for refund,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repayments to officers or employees The Secretary subject to regulations pre,6.Section,0,Repayments to officers or employees The Secre tary subject to reg ulations pres cribed,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Intervention If the United States is not a party to a civil,6.Section,0,Intervention If the United S tates is n ot a p arty to a c ivil,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Discharge of liens,6.Section,0,Discharge of liens,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Civil actions by persons other than tax payers,6.Section,0,Civil actions by persons other than tax payers,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Tax return preparers In any proceeding involving the issue of,6.Section,0,Tax return preparers In any proceed ing involving th e issue of wheth,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Declaratory judgments relating to status and classification of organizations under sec,6.Section,0,Declaratory judgments relating to status and classification of organizations under sec,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Review of jeopardy levy or assessment procedures,6.Section,0,Review of jeopardy levy or assessment procedures,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Special rules where election or substantial builtin loss,6.Section,0,Special rules where election or substantial builtin loss,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Awarding of costs and certain fees,6.Section,0,Awarding of costs and certain fees,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Civil damages for unauthorized inspec tion or disclosure of returns and return in,6.Section,0,Civil damages for unauthorized inspec tion or disclosure of returns and return in,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Civil damages for failure to release lien,6.Section,0,Civil damages for failure to release lien,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Civil damages for certain unauthorized collection actions,6.Section,0,Civil damages for certain unauthorized collection actions,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
A Civil damages for certain unauthorized,6.Section,0,Civil damages for certain unauthorized collection actions,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Civil damages for fraudulent filing of in formation returns,6.Section,0,Civil damages for fraudulent filing of in formation returns,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Civil damages for unauthorized entice ment of information disclosure,6.Section,0,Civil damages for unauthorized entice ment of information disclosure,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Proceedings for determination of employ ment status,6.Section,0,Proceedings for determination of employ ment status,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Cross references For determination of amount of any tax addi,6.Section,0,Cross references F or determination of amount of any tax addi,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Status There is hereby established under article I of,6.Section,0,Status There is h ereby est ablish ed u nder article I o f,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Jurisdiction The Tax Court and its divisions shall have,6.Section,0,Jurisdiction The Tax Co urt a nd its divisions sh all h ave su ch,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Membership,6.Section,0,Membership,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
A Special trial judges,6.Section,0,A Special trial judges,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
B Repealed Pub L title I,6.Section,0,B Repealed Pub L title I,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Organization,6.Section,0,Organization,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Offices The principal office of the Tax Court shall be,6.Section,0,Offices The pr incipal o ffice o f the Tax Co urt sh all be,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Times and places of sessions The times and places of the sessions of the Tax,6.Section,0,Times and places of sessions The tim es a nd places o f the ses sions of the Tax,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Retirement,6.Section,0,Retirement,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Annuities to surviving spouses and de pendent children of judges and special trial,6.Section,0,Annuities to surviving spouses and depend ent children of judges and special trial judges,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Fee for filing petition The Tax Court is authorized to impose a fee in,6.Section,0,Fee for filing petition,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Representation of parties The Secretary shall be represented by the,6.Section,0,Representation of parties The Secre tary sh all be re prese nted b y th e Chi ef,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Rules of practice procedure and evi dence,6.Section,0,Rules of practice procedure and evidence Except i n th e ca se o f proceed ings co nducted,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Burden of proof in fraud foundation man ager and transferee cases,6.Section,0,Burden of proof in fraud foundation man,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Administration of oaths and procurement of testimony,6.Section,0,Administration of oaths and procurement of testimony,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Witness fees,6.Section,0,Witness fees,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Hearings Notice and opportunity to be heard upon any,6.Section,0,Hearings Notice a nd opportunity to be h eard u pon any,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
